Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,File Path,Open Finder
8HRX5X5N,journalArticle,2005,"Sinclair, Scott; Pegram, Geoff",Combining radar and rain gauge rainfall estimates using conditional merging,Atmospheric Science Letters,,"1530-261X, 1530-261X",10.1002/asl.85,https://onlinelibrary.wiley.com/doi/10.1002/asl.85,,2005-01,2023-03-16 17:52:33,2023-04-06 23:21:18,2023-04-06 23:01:05,19-22,,1,6,,Atmos. Sci. Lett.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-27544493135&doi=10.1002%2fasl.85&partnerID=40&md5=6c0b2f40c0dfb0909a43f4dcbc1b113b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ISUIK4M,journalArticle,2002,"Singh, V. P.",Is hydrology kinematic?,Hydrological Processes,,"0885-6087, 1099-1085",10.1002/hyp.306,https://onlinelibrary.wiley.com/doi/10.1002/hyp.306,,2002-02-28,2023-03-16 17:52:33,2023-04-06 23:21:21,2023-04-06 23:00:51,667-716,,3,16,,Hydrol. Process.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037186452&doi=10.1002%2fhyp.306&partnerID=40&md5=567fb714e98046a47f90c2fdaa0ded15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEYPACGN,journalArticle,2001,"Singh, V. P.",Kinematic wave modelling in water resources: a historical perspective,Hydrological Processes,,"0885-6087, 1099-1085",10.1002/hyp.99,https://onlinelibrary.wiley.com/doi/10.1002/hyp.99,,2001-03,2023-03-16 17:52:33,2023-04-06 23:21:19,2023-04-06 23:00:53,671-706,,4,15,,Hydrol. Process.,Kinematic wave modelling in water resources,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035280342&doi=10.1002%2fhyp.99&partnerID=40&md5=8baab03276d4cf1c0833f7f650290573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPG98M5Z,journalArticle,1976,"Singh, Vijay P.; Woolhiser, David A.",A nonlinear kinematic wave model for watershed surface runoff,Journal of Hydrology,,00221694,10.1016/0022-1694(76)90126-8,https://linkinghub.elsevier.com/retrieve/pii/0022169476901268,,1976-12,2023-03-16 17:52:33,2023-04-06 23:21:23,2023-04-06 23:00:59,221-243,,3-4,31,,Journal of Hydrology,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\58N2HCQF\Singh and Woolhiser - 1976 - A nonlinear kinematic wave model for watershed sur.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017218534&doi=10.1016%2f0022-1694%2876%2990126-8&partnerID=40&md5=1801aac0958392adc8ff952355a98ddb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\58N2HCQF\Singh and Woolhiser - 1976 - A nonlinear kinematic wave model for watershed sur.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\58N2HCQF\Singh and Woolhiser - 1976 - A nonlinear kinematic wave model for watershed sur.pdf';
46KM7NJG,journalArticle,2002,"Singh, Vijay P.; Woolhiser, David A.",Mathematical Modeling of Watershed Hydrology,Journal of Hydrologic Engineering,,"1084-0699, 1943-5584",10.1061/(ASCE)1084-0699(2002)7:4(270),https://ascelibrary.org/doi/10.1061/%28ASCE%291084-0699%282002%297%3A4%28270%29,,2002-07,2023-03-16 17:52:33,2023-04-06 23:21:25,2023-04-06 23:00:52,270-292,,4,7,,J. Hydrol. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036641896&doi=10.1061%2f%28ASCE%291084-0699%282002%297%3a4%28270%29&partnerID=40&md5=25a871d66b8850c72d2e1dc3378067a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX7N6277,journalArticle,2018,"Sitterson, Jan; Knightes, Chris; Parmar, Rajbir; Wolfe, Kurt; Avant, Brian; Muche, Muluken",An overview of rainfall-runoff model types,,,,,,,2018,2023-03-16 17:52:33,2023-03-16 17:52:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2EDLLX33,journalArticle,2011,"Sitzenfrei, R.; Mair, M.; Möderl, M.; Rauch, W.",Cascade vulnerability for risk analysis of water infrastructure,Water Science and Technology,,"0273-1223, 1996-9732",10.2166/wst.2011.813,https://iwaponline.com/wst/article/64/9/1885/16761/Cascade-vulnerability-for-risk-analysis-of-water,"One of the major tasks in urban water management is failure-free operation for at least most of the time. Accordingly, the reliability of the network systems in urban water management has a crucial role. The failure of a component in these systems impacts potable water distribution and urban drainage. Therefore, water distribution and urban drainage systems are categorized as critical infrastructure. Vulnerability is the degree to which a system is likely to experience harm induced by perturbation or stress. However, for risk assessment, we usually assume that events and failures are singular and independent, i.e. several simultaneous events and cascading events are unconsidered. Although failures can be causally linked, a simultaneous consideration in risk analysis is hardly considered. To close this gap, this work introduces the term cascade vulnerability for water infrastructure. Cascade vulnerability accounts for cascading and simultaneous events. Following this definition, cascade risk maps are a merger of hazard and cascade vulnerability maps. In this work cascade vulnerability maps for water distribution systems and urban drainage systems based on the ‘Achilles-Approach’ are introduced and discussed. It is shown, that neglecting cascading effects results in significant underestimation of risk scenarios.",2011-11-01,2023-03-16 17:52:33,2023-04-06 23:03:36,2023-04-06 23:00:55,1885-1891,,9,64,,,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-81855203250&doi=10.2166%2fwst.2011.813&partnerID=40&md5=08808cf78b9fd66d9ac0d8bbc1c724b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y87BU8V5,journalArticle,1998,"Sivapalan, Murugesu; Blöschl, Günter",Transformation of point rainfall to areal rainfall: Intensity-duration-frequency curves,Journal of Hydrology,,00221694,10.1016/S0022-1694(97)00117-0,https://linkinghub.elsevier.com/retrieve/pii/S0022169497001170,,1998-01,2023-03-16 17:52:33,2023-04-06 23:03:51,2023-04-06 23:01:04,150-167,,1-4,204,,Journal of Hydrology,Transformation of point rainfall to areal rainfall,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\S2JY83LI\Sivapalan and Blöschl - 1998 - Transformation of point rainfall to areal rainfall.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032579427&doi=10.1016%2fS0022-1694%2897%2900117-0&partnerID=40&md5=ae3ee0708a31499d252435a65182c99c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\S2JY83LI\Sivapalan and Blöschl - 1998 - Transformation of point rainfall to areal rainfall.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\S2JY83LI\Sivapalan and Blöschl - 1998 - Transformation of point rainfall to areal rainfall.pdf';
ZQZ4IYPS,journalArticle,2012,"Smith, James A.; Baeck, Mary Lynn; Villarini, Gabriele; Welty, Claire; Miller, Andrew J.; Krajewski, Witold F.","Analyses of a long-term, high-resolution radar rainfall data set for the Baltimore metropolitan region: RADAR RAINFALL DATA SET FOR BALTIMORE, MD",Water Resources Research,,00431397,10.1029/2011WR010641,http://doi.wiley.com/10.1029/2011WR010641,,2012-04,2023-03-16 17:52:33,2023-04-06 23:03:53,2023-04-06 23:00:52,,,4,48,,Water Resour. Res.,"Analyses of a long-term, high-resolution radar rainfall data set for the Baltimore metropolitan region",,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859717342&doi=10.1029%2f2011WR010641&partnerID=40&md5=f536ea0edb9f5d51e6ae205f7e148bdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I2APL4Z4,journalArticle,2013,"Smith, M.; Koren, V.; Zhang, Z.; Moreda, F.; Cui, Z.; Cosgrove, B.; Mizukami, N.; Kitzmiller, D.; Ding, F.; Reed, S.; Anderson, E.; Schaake, J.; Zhang, Y.; Andréassian, V.; Perrin, C.; Coron, L.; Valéry, A.; Khakbaz, B.; Sorooshian, S.; Behrangi, A.; Imam, B.; Hsu, K. L.; Todini, E.; Coccia, G.; Mazzetti, C.; Ortiz Andres, E.; Francés, F.; Orozco, I.; Hartman, R.; Henkel, A.; Fickenscher, P.; Staggs, S.",The distributed model intercomparison project - Phase 2: Experiment design and summary results of the western basin experiments,Journal of Hydrology,,,10.1016/j.jhydrol.2013.08.040,,,2013,2023-03-16 17:52:33,2023-04-06 23:03:25,,300-329,,,507,,,,,,,,,,,,,,,,,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\JEYNIQBK\Smith et al. - 2013 - The distributed model intercomparison project - Ph.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888824242&doi=10.1016%2fj.jhydrol.2013.08.040&partnerID=40&md5=27e9b115247d08a8664318401b1843ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\JEYNIQBK\Smith et al. - 2013 - The distributed model intercomparison project - Ph.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\JEYNIQBK\Smith et al. - 2013 - The distributed model intercomparison project - Ph.pdf';
WBEPV8WD,journalArticle,2012,"Smith, Michael B.; Koren, Victor; Reed, Seann; Zhang, Ziya; Zhang, Yu; Moreda, Fekadu; Cui, Zhengtao; Mizukami, Naoki; Anderson, Eric A.; Cosgrove, Brian A.",The distributed model intercomparison project – Phase 2: Motivation and design of the Oklahoma experiments,Journal of Hydrology,,00221694,10.1016/j.jhydrol.2011.08.055,https://linkinghub.elsevier.com/retrieve/pii/S0022169411006111,,2012-02,2023-03-16 17:52:34,2023-04-06 23:03:56,2023-04-06 23:00:59,3-16,,,418-419,,Journal of Hydrology,The distributed model intercomparison project – Phase 2,,,,,,,en,,,,,DOI.org (Crossref),,,,; C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\X5WXSKDK\Smith et al. - 2012 - The distributed model intercomparison project – Ph.pdf,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856064682&doi=10.1016%2fj.jhydrol.2011.08.055&partnerID=40&md5=5cac3af1c7ee1c8a475b319b2307fd26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\X5WXSKDK\Smith et al. - 2012 - The distributed model intercomparison project – Ph.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\X5WXSKDK\Smith et al. - 2012 - The distributed model intercomparison project – Ph.pdf';
CTC6JHTH,journalArticle,2012,"Smithers, Jc",Methods for design flood estimation in South Africa,Water SA,,0378-4738,10.4314/wsa.v38i4.19,http://www.ajol.info/index.php/wsa/article/view/81042,,2012-09-11,2023-03-16 17:52:34,2023-04-06 23:03:58,2023-04-06 23:01:00,633-646,,4,38,,WSA,,,,,,,,,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\RKB23RDL\Smithers - 2012 - Methods for design flood estimation in South Afric.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930485062&doi=10.4314%2fwsa.v38i4.19&partnerID=40&md5=afa109f0d9006ae8faf2e887bca67284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\RKB23RDL\Smithers - 2012 - Methods for design flood estimation in South Afric.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\RKB23RDL\Smithers - 2012 - Methods for design flood estimation in South Afric.pdf';
I5TWRUW8,journalArticle,2018,"Sriwastava, Ambuj Kumar; Tait, Simon; Schellart, Alma; Kroll, Stefan; Dorpe, Mieke Van; Assel, Johan Van; Shucksmith, James",Quantifying Uncertainty in Simulation of Sewer Overflow Volume,Journal of Environmental Engineering,,"0733-9372, 1943-7870",10.1061/(ASCE)EE.1943-7870.0001392,https://ascelibrary.org/doi/10.1061/%28ASCE%29EE.1943-7870.0001392,,2018-07,2023-03-16 17:52:34,2023-04-06 23:04:00,2023-04-06 23:00:59,04018050,,7,144,,J. Environ. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\ZGR6SZ2U\Sriwastava et al. - 2018 - Quantifying Uncertainty in Simulation of Sewer Ove.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046664818&doi=10.1061%2f%28ASCE%29EE.1943-7870.0001392&partnerID=40&md5=5f0a887a4fbb0c1dc1be80c61db8cc3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\ZGR6SZ2U\Sriwastava et al. - 2018 - Quantifying Uncertainty in Simulation of Sewer Ove.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\ZGR6SZ2U\Sriwastava et al. - 2018 - Quantifying Uncertainty in Simulation of Sewer Ove.pdf';
DU8FPT4F,journalArticle,1989,"Stephenson, D.",Selection of Stormwater Model Parameters,Journal of Environmental Engineering,,"0733-9372, 1943-7870",10.1061/(ASCE)0733-9372(1989)115:1(210),https://ascelibrary.org/doi/10.1061/%28ASCE%290733-9372%281989%29115%3A1%28210%29,,1989-02,2023-03-16 17:52:34,2023-04-06 23:04:02,2023-04-06 23:01:05,210-220,,1,115,,J. Environ. Eng.,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024606281&doi=10.1061%2f%28ASCE%290733-9372%281989%29115%3a1%28210%29&partnerID=40&md5=ace7dfdfe82129c967e3bcc839e31b9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22J3QBQA,conferencePaper,2016,"Stuart, James; Keogh, R.; Hughes, L.","100 OR 10000 YEAR FLOOD, WHO KNOWS? IMPLICATIONS FOR DAM, FLOODPLAIN AND EMERGENCY MANAGEMENT",,,,,,,2016,2023-03-16 17:52:34,2023-03-16 17:52:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floodplain Management Association National Conference,,,,,,,,,,,,,,,,,
J9QPG9SY,journalArticle,2019,"Tan, Peiying; Zhou, Yongchao; Zhang, Yiping; Zhu, David Z.; Zhang, Tuqiao",Assessment and pathway determination for rainfall-derived inflow and infiltration in sanitary systems: a case study,Urban Water Journal,,"1573-062X, 1744-9006",10.1080/1573062X.2019.1700289,https://www.tandfonline.com/doi/full/10.1080/1573062X.2019.1700289,,2019-09-14,2023-03-16 17:52:34,2023-04-06 23:04:05,2023-04-06 23:00:51,600-607,,8,16,,Urban Water Journal,Assessment and pathway determination for rainfall-derived inflow and infiltration in sanitary systems,,,,,,,en,,,,,DOI.org (Crossref),,,,; C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\UDSSSKLD\Tan et al. - 2019 - Assessment and pathway determination for rainfall-.pdf,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076897191&doi=10.1080%2f1573062X.2019.1700289&partnerID=40&md5=38acb01a75cab7a8d4cb9aa9595ba14d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\UDSSSKLD\Tan et al. - 2019 - Assessment and pathway determination for rainfall-.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\UDSSSKLD\Tan et al. - 2019 - Assessment and pathway determination for rainfall-.pdf';
VRXCEHMM,journalArticle,2012,"Teutschbein, Claudia; Seibert, Jan",Bias correction of regional climate model simulations for hydrological climate-change impact studies: Review and evaluation of different methods,Journal of Hydrology,,00221694,10.1016/j.jhydrol.2012.05.052,https://linkinghub.elsevier.com/retrieve/pii/S0022169412004556,,2012-08,2023-03-16 17:52:34,2023-04-06 23:04:09,2023-04-06 23:00:51,12-29,,,456-457,,Journal of Hydrology,Bias correction of regional climate model simulations for hydrological climate-change impact studies,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864361017&doi=10.1016%2fj.jhydrol.2012.05.052&partnerID=40&md5=ad7a3eee4df6dc4f30b53e1414ebe85f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG7Y2UFQ,conferencePaper,2015,"The, C.; Beesley, C.; Podger, S.; Green, J.; Jolly, C.; Hutchinson, M.",Very frequent design rainfalls - An enhancement to the new IFDs,,,,,,,2015,2023-03-16 17:52:34,2023-03-16 17:52:34,,48-55,,,,,,,,,,,,,,,,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974678949&partnerID=40&md5=470352e42706db27709d4882cd5732a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Art and Science of Water - 36th Hydrology and Water Resources Symposium, HWRS 2015",,,,,,,,,,,,,,,,,
RSNEUHWU,conferencePaper,2014,"The, C.; Hutchinson, M.; Johnson, F.; Beesley, C.; Green, J.",Application of ANUSPLIN to produce new intensity-frequency-duration (IFD) index rainfalls across Australia,,,,,,,2014,2023-03-16 17:52:34,2023-03-16 17:52:34,,557-564,,,,,,,,,,,,,,,,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925047453&partnerID=40&md5=865b38333cf8f4e2b480851451a1b2df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hydrology and Water Resources Symposium 2014, HWRS 2014 - Conference Proceedings",,,,,,,,,,,,,,,,,
EUAKABHE,journalArticle,2012,"Themeßl, Matthias Jakob; Gobiet, Andreas; Heinrich, Georg",Empirical-statistical downscaling and error correction of regional climate models and its impact on the climate change signal,Climatic Change,,"0165-0009, 1573-1480",10.1007/s10584-011-0224-4,http://link.springer.com/10.1007/s10584-011-0224-4,,2012-05,2023-03-16 17:52:34,2023-04-06 23:04:11,2023-04-06 23:00:51,449-468,,2,112,,Climatic Change,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\CSXJC2B3\Themeßl et al. - 2012 - Empirical-statistical downscaling and error correc.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857437286&doi=10.1007%2fs10584-011-0224-4&partnerID=40&md5=dfb50f77b4dcb68744399b004a9589cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\CSXJC2B3\Themeßl et al. - 2012 - Empirical-statistical downscaling and error correc.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\CSXJC2B3\Themeßl et al. - 2012 - Empirical-statistical downscaling and error correc.pdf';
ANPXPEMG,conferencePaper,2014,"Thi, P. C.; Ball, J. E.",Daily rainfall disaggregation for a monsoon catchment in Vietnam,,,,,,"Rainfall is one of the more important factors influencing flows in a river and particularly so for flood flows in a river. Hence there is a need to adequately model rainfall if flows in rivers are to be predicted with reliability. There are three components to a rainfall model, namely the rainfall depth, the spatial distribution of rainfall and the temporal distribution of rainfall. This last aspect of a rainfall model is the focus of the study that will be presented in this paper. In many Asian countries, the data for assessing the sub-daily temporal distribution of rainfall is limited by the availability of continuous records. It is far more common for the available data to comprise daily rainfall records. There is a need, therefore to disaggregate these daily rainfall records. One method that has been applied to the problem of disaggregation of daily rainfall records is the ""Method of Fragments"". Presented herein will be a discussion of the application of the ""Method of Fragments"" to the disaggregation of daily rainfall records in a monsoonal catchment in Vietnam. The case study catchment is the Ba River where 14 daily-read gauges and 12 hourly rainfall stations across the basin were available. The similarity of statistical characteristics of these gauges was evaluated by Welch Two Sample t-test and Bartlett test of homogeneity of variances. The model is validated at 3 stations, where recorded hourly data was available. Hourly rainfall of 14 stations is then disaggregated from daily data based on the historical observed hourly data from 12 hourly stations in the basin.",2014,2023-03-16 17:52:34,2023-03-16 17:52:34,,501-508,,,,,,,,,,,,,,,,,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925060827&partnerID=40&md5=2dcfeb34d6b4c7d51d669e0428d5506e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hydrology and Water Resources Symposium 2014, HWRS 2014 - Conference Proceedings",,,,,,,,,,,,,,,,,
LZ2XCYVU,journalArticle,2008,"Thorndahl, S.; Schaarup-Jensen, K.; Jensen, J. B.",Probabilistic modelling of combined sewer overflow using the First Order Reliability Method,Water Science and Technology,,"0273-1223, 1996-9732",10.2166/wst.2008.301,https://iwaponline.com/wst/article/57/9/1337/14444/Probabilistic-modelling-of-combined-sewer-overflow,"This paper presents a new and alternative method (in the context of urban drainage) for probabilistic hydrodynamical analysis of drainage systems in general and especially prediction of combined sewer overflow. Using a probabilistic shell it is possible to implement both input and parameter uncertainties on an application of the commercial urban drainage model MOUSE combined with the probabilistic First Order Reliability Method (FORM). Applying statistical characteristics on several years of rainfall, it is possible to derive a parameterization of the rainfall input and the failure probability and return period of combined sewer overflow to receiving waters can be found.",2008-05-01,2023-04-06 23:00:54,2023-04-06 23:47:14,2023-04-06 23:00:54,1337-1344,,9,57,,,,,,,,,,en,,,,,DOI.org (Crossref),,,,; C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\7WIMLCHW\Thorndahl et al. - 2008 - Probabilistic modelling of combined sewer overflow.pdf,https://www.scopus.com/inward/record.uri?eid=2-s2.0-45549093434&doi=10.2166%2fwst.2008.301&partnerID=40&md5=72cdc50c758fa658b4b22e376aa3d411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\7WIMLCHW\Thorndahl et al. - 2008 - Probabilistic modelling of combined sewer overflow.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\7WIMLCHW\Thorndahl et al. - 2008 - Probabilistic modelling of combined sewer overflow.pdf';
FTTREL8N,journalArticle,2008,"Thorndahl, S.; Willems, P.","Probabilistic modelling of overflow, surcharge and flooding in urban drainage using the first-order reliability method and parameterization of local rain series",Water Research,,00431354,10.1016/j.watres.2007.07.038,https://linkinghub.elsevier.com/retrieve/pii/S0043135407005143,,2008-01,2023-03-16 17:52:34,2023-04-06 23:28:57,2023-04-06 23:00:53,455-466,,1-2,42,,Water Research,,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-37349072243&doi=10.1016%2fj.watres.2007.07.038&partnerID=40&md5=f693869889eb9a47128f436043e9c587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2VHHUQR,journalArticle,2012,"Todeschini, Sara; Papiri, Sergio; Ciaponi, Carlo",Performance of stormwater detention tanks for urban drainage systems in northern Italy,Journal of Environmental Management,,03014797,10.1016/j.jenvman.2012.02.003,https://linkinghub.elsevier.com/retrieve/pii/S0301479712000497,,2012-06,2023-03-16 17:52:34,2023-04-06 23:29:00,2023-04-06 23:00:53,33-45,,,101,,Journal of Environmental Management,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\BNQBXSSR\Todeschini et al. - 2012 - Performance of stormwater detention tanks for urba.pdf; C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\PSBUWVES\Todeschini et al. - 2012 - Performance of stormwater detention tanks for urba.pdf; ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857673352&doi=10.1016%2fj.jenvman.2012.02.003&partnerID=40&md5=b6f87da89b22a14c5138b3ebc549f1ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\BNQBXSSR\Todeschini et al. - 2012 - Performance of stormwater detention tanks for urba.pdf';Invoke-Item 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\PSBUWVES\Todeschini et al. - 2012 - Performance of stormwater detention tanks for urba.pdf';,Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\BNQBXSSR\Todeschini et al. - 2012 - Performance of stormwater detention tanks for urba.pdf';Start-Process foxitpdfreader 'C:\Users\HOLGER\Downloads\Papers\Lib_Papers\storage\PSBUWVES\Todeschini et al. - 2012 - Performance of stormwater detention tanks for urba.pdf';
